Cat's Cradle,Kurt Vonnegut
A Working Theory of Love, Scott Hutchins
A Clean Kill in Tokyo, Barry Eisler
Jurassic Park, Michael Crichton
The Adjacent, Christopher Priest
The Ministry for the Future, Kim Robinson
Foundryside, Robert Jackson Bennett
Lockland, Robert Jackson Bennett
Your Utopia, Bora Chung
The Atrocity Archives, Charles Stross
All Systems Red, Martha Wells
Lonesome Dove, Larry McMurtry
All Tomorrows, Rober Tatoud
Every Tool's a Hammer, Adam Savage
Zima Blue, Alastair Reynolds
Pattern Recognition, William Gibson
The Bright Word, Lev Grossman
The Maddaddam Trilogy, Margaret Atwood
An African History of Africa, Zeinab Badawi
Fire Weather, John Vaillant
Quicksilver, Neal Stephenson
Il Mistero della Sciamana, Harald Meller
Record of a Spaceborn Few, Becky Chambers
A preyer for the Crown-Shy, Becky Chambers
Down and Out in the Magic Kingdom, Cory Doctorow
